year,month,week,dow,day,work_day,work_in,status_one,lunch_in,status_two,lunch_out,status_three,work_out,total_time
2019,6,26,4,27/06,True,08:18,green,12:00,green,13:00,green,17:18,08:00
2019,6,26,5,28/06,True,08:36,green,12:07,green,13:07,green,17:36,08:00
2019,6,26,6,29/06,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,26,7,30/06,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,27,1,01/07,True,08:27,green,12:57,green,13:57,green,17:27,08:00
2019,7,27,2,02/07,True,08:14,green,12:05,green,13:05,green,17:45,08:31
2019,7,27,3,03/07,True,12:02,green,17:41,green,18:41,green,19:52,06:50
2019,7,27,4,04/07,True,09:00,green,11:47,green,12:47,green,18:08,08:08
2019,7,27,5,05/07,True,08:35,green,11:57,green,12:59,green,17:54,08:17
2019,7,27,6,06/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,27,7,07/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,28,1,08/07,True,08:22,green,12:01,green,13:07,green,17:28,08:00
2019,7,28,2,09/07,True,08:56,green,12:02,green,13:04,green,17:58,08:00
2019,7,28,3,10/07,True,08:21,green,11:56,green,12:56,green,17:21,08:00
2019,7,28,4,11/07,True,08:26,green,11:57,green,13:02,green,18:00,08:29
2019,7,28,5,12/07,True,08:41,green,11:54,green,13:12,green,17:59,08:00
2019,7,28,6,13/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,28,7,14/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,29,1,15/07,True,08:30,green,12:44,green,13:44,green,17:30,08:00
2019,7,29,2,16/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,29,3,17/07,True,08:41,green,11:46,green,12:46,green,17:41,08:00
2019,7,29,4,18/07,True,08:19,green,11:58,green,12:58,green,17:04,07:45
2019,7,29,5,19/07,True,08:39,green,12:06,green,14:00,green,18:33,08:00
2019,7,29,6,20/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,08:00
2019,7,29,7,21/07,True,10:20,green,14:20,green,15:20,green,18:20,07:00
2019,7,30,1,22/07,True,08:40,green,12:00,green,13:22,green,18:02,08:00
2019,7,30,2,23/07,True,08:42,green,12:05,green,13:25,green,18:02,08:00
2019,7,30,3,24/07,True,08:35,green,12:06,green,13:37,green,18:06,08:00
2019,7,30,4,25/07,True,08:35,green,11:53,green,13:24,green,18:06,08:00
2019,7,30,5,26/07,True,08:40,green,13:00,green,14:00,green,17:15,07:35
2019,7,30,6,27/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,30,7,28/07,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,31,1,29/07,True,08:28,green,11:59,green,13:00,green,17:54,08:25
2019,7,31,2,30/07,True,09:00,green,12:01,green,13:01,green,18:00,08:00
2019,7,31,3,31/07,True,09:00,gray,12:00,gray,13:00,gray,18:00,08:00
2019,8,31,4,01/08,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,8,31,5,02/08,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,8,31,6,03/08,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,8,31,7,04/08,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
